TK20-2;TK20-3;TK20-4;TK20-5;TK20-6;TK20-7;TK20-8;TK20-9;TK20-10;TK20-11;TK20-12;TK20-13;TK20-14;TK20-15;TK20-16;TK20-17;TK20-18;TK20-19;TK20-20;TK20-21;TK20-22;TK20-23;TK20-24;TK20-25;TK20-26;TK20-27;TK20-28;TK20-29;TK20-30
149;53;129;47;12;13;13;3;7;867;158;48;899;15;33;5;2;0;4;466;115;48;21;11;16;6;0;3;22
624;413;31;0;1;9;2;5;1;544;965;235;205;0;24;1;1;6;1;250;826;272;26;6;6;2;0;7;3
1347;544;520;21;13;30;8;14;9;1303;2133;540;3156;29;67;9;2;6;1;567;1981;353;306;49;28;31;0;6;8
1252;613;581;103;150;187;35;14;9;1372;1960;486;3729;49;573;66;25;33;0;474;1492;383;700;325;101;90;1;29;37
142;323;101;48;8;28;22;2;6;260;182;320;562;41;244;19;4;10;0;238;227;194;62;119;45;116;0;26;29
863;1106;660;863;264;826;248;243;104;793;1597;1172;2982;539;6186;424;68;174;1;463;1390;698;426;1477;1142;1578;24;239;206
14;4;10;36;5;12;7;2;2;219;11;8;96;4;14;10;3;10;0;225;9;11;15;18;15;14;0;2;4
475;297;358;44;131;256;363;22;1;317;848;150;2030;28;331;119;22;23;0;315;540;206;488;185;44;74;6;16;16
274;234;343;131;38;112;31;2;2;159;549;216;1858;115;219;35;3;10;1;156;298;176;256;470;153;84;3;8;18
437;420;391;120;98;385;352;46;3;406;792;309;2272;214;481;151;61;57;3;326;618;269;295;489;248;216;29;17;23
2598;1596;1203;213;73;54;43;17;12;2305;4404;1111;6849;315;134;22;4;18;9;2788;3821;862;420;171;169;67;0;33;47
1948;742;212;806;196;551;112;59;5;344;3442;633;1036;726;3987;396;73;57;1;137;2151;492;105;984;1528;1129;0;44;43
4985;2750;1115;5608;4459;17341;3232;4152;236;1583;9650;2305;4594;3429;72077;10460;5314;3560;23;573;6697;1913;998;6495;8439;11549;123;3594;309
2103;1392;556;3692;821;1353;286;68;8;672;3542;1286;3045;3551;14691;1336;95;49;4;320;2434;745;319;2157;5835;3234;19;35;72
1377;1113;391;1964;819;4020;951;59;17;732;2796;876;1644;1386;13481;2200;302;58;2;198;1623;560;207;1175;2107;2822;11;55;20
151;206;443;77;26;54;26;52;22;484;324;230;4420;41;270;32;9;14;1;531;398;166;716;282;80;60;6;23;28
198;132;213;142;183;182;96;241;20;124;478;111;732;72;882;81;77;83;1;63;298;62;142;157;151;289;8;93;6
88;41;47;44;36;255;53;99;3;36;206;40;262;25;345;191;25;61;0;24;77;41;54;103;21;193;1;45;6
21;5;26;304;10;85;18;47;22;59;21;4;172;154;2378;115;244;13;0;67;20;8;50;107;321;928;2;19;9
13;7;23;204;546;3340;913;1997;147;11;12;3;251;152;5827;3163;1299;1128;7;11;6;2;32;68;174;1186;1;303;52
102;121;165;133;57;555;267;531;66;116;258;97;1120;195;1215;393;288;262;0;65;218;69;229;265;190;634;5;202;76
603;376;102;24;4;28;5;8;3;308;1072;323;709;16;144;16;7;3;1;199;1022;311;111;39;31;40;0;7;7
235;136;197;88;56;86;32;65;4;149;396;108;758;55;233;43;25;45;0;59;274;101;216;71;41;46;2;30;9
213;165;233;98;206;179;79;187;25;119;511;100;4421;41;530;97;74;104;3;49;263;81;349;76;88;128;3;65;16
68;42;35;36;6;41;46;69;1;28;73;30;208;17;65;14;2;31;0;12;40;39;49;44;21;38;0;8;14
150;102;32;18;67;752;526;306;27;167;270;50;82;13;362;324;109;200;0;138;201;69;26;50;41;154;2;29;13
300;237;155;593;75;494;293;58;11;56;669;201;857;1114;2283;330;86;41;0;34;528;201;129;2989;1158;864;13;74;34
2547;2618;1409;420;531;3974;673;101;34;526;5254;2254;8759;390;2804;2024;28;104;7;229;4260;2299;1227;2141;402;810;6;84;146
1062;852;448;156;28;55;470;8;1;605;1782;689;2618;413;192;19;8;46;1;463;999;555;318;155;211;34;0;0;6
761;1938;2506;61;15;102;109;70;9;1493;1050;1357;7195;46;123;9;9;23;2;704;859;977;999;36;37;49;1;41;53
164;164;245;20;62;92;233;15;4;305;370;118;1555;14;185;51;21;10;3;300;214;124;387;155;27;53;9;6;11
491;483;281;277;491;3193;313;23;13;198;918;440;1550;318;3340;1463;87;49;0;66;581;551;333;840;877;1264;4;44;22
640;573;144;21;258;485;56;19;6;177;1535;501;901;9;642;156;37;13;3;85;1032;588;319;64;31;112;0;33;12
29;14;24;0;2;2;2;4;3;464;51;26;95;2;17;4;2;2;2;806;36;19;8;16;24;9;0;5;4
257;28;42;49;16;46;20;13;1;155;388;26;385;4;62;26;1;19;0;15;149;33;109;83;9;30;0;10;14
